Timestamp,Source IP,Destination IP,Hostname,Protocol,Port
2025-10-21 13:00:52,96.16.60.92,156.143.60.181,Unknown,TCP,50516
2025-10-21 13:00:52,10.102.8.98,156.143.60.181,Unknown,UDP,64017
2025-10-21 13:00:53,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,10.102.8.98,156.143.60.181,Unknown,UDP,57167
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,156.143.60.181,35.186.224.24,24.224.186.35.bc.googleusercontent.com,TCP,443
2025-10-21 13:00:54,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:54,35.186.224.24,156.143.60.181,Unknown,TCP,50718
2025-10-21 13:00:54,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:55,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:56,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:56,0.0.0.0,255.255.255.255,broadcasthost,UDP,67
2025-10-21 13:00:56,156.143.60.181,10.1.16.2,Unknown,TCP,80
2025-10-21 13:00:56,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:56,10.102.8.98,156.143.60.181,Unknown,UDP,60816
2025-10-21 13:00:57,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:57,10.102.8.98,156.143.60.181,Unknown,UDP,53563
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,10.102.8.98,shrek19.fu.campus,UDP,53
2025-10-21 13:00:57,10.102.8.98,156.143.60.181,Unknown,UDP,51826
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,52.182.143.214,156.143.60.181,Unknown,TCP,50743
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
2025-10-21 13:00:57,156.143.60.181,52.182.143.214,Unknown,TCP,443
